feature,winner_gains,winner_drops,discordant_pairs,p_sign_test,q_bh,net_pp
question,167,312,479,3.366187468118114e-11,1.1781656138413398e-10,-7.583682008368201
all_caps_word,56,99,155,0.0006916620893659554,0.0012104086563904219,-2.2489539748953975
exclamation,20,50,70,0.00044028500651396835,0.0010273316818659262,-1.5690376569037656
second_person,281,273,554,0.7661912153011169,0.7661912153011169,0.41841004184100417
number,215,155,370,0.0021182931030053302,0.0029656103442074625,3.1380753138075312
quotation,394,323,717,0.00889727261294306,0.010380151381766903,3.713389121338912
demonstrative,408,234,642,6.452011847624963e-12,4.5164082933374744e-11,9.100418410041842
