feature,winner_gains,winner_drops,discordant_pairs,p_sign_test,q_bh,net_pp
question,33,69,102,0.00046860434916208907,0.0032802304441346235,-8.653846153846153
second_person,51,71,122,0.0849806458268532,0.19140625,-4.807692307692308
all_caps_word,13,21,34,0.22948101302608848,0.3212734182365239,-1.9230769230769231
exclamation,2,8,10,0.109375,0.19140625,-1.4423076923076923
number,40,34,74,0.5613807442989817,0.5613807442989817,1.4423076923076923
quotation,82,73,155,0.5206333734262385,0.5613807442989817,2.1634615384615383
demonstrative,93,55,148,0.0022443657527497166,0.007855280134624009,9.134615384615383
